condition_evolved	condition_measurement	population	cross	replicate	transfer	doubling_time
RM	YNB+RM	WE	0	0	P0	3.57167473110068
RM	YNB+RM	WE	0	0	P0	3.2496299018087
RM	YNB+RM	WE	0	1	P1	3.32083668284456
RM	YNB+RM	two-parent	1	1	P7	2.18533156712371
RM	YNB+RM	WE	0	1	P1	3.87779897418741
RM	YNB+RM	two-parent	1	1	P7	2.29263772904808
RM	YNB+RM	WE	0	1	P2	2.08532146221106
RM	YNB+RM	two-parent	1	1	P8	2.40176271399977
RM	YNB+RM	WE	0	1	P2	2.06225523036177
RM	YNB+RM	two-parent	1	1	P8	2.26649483205105
RM	YNB+RM	WE	0	1	P3	1.8452225764506
RM	YNB+RM	two-parent	1	1	P9	2.03270948083685
RM	YNB+RM	WE	0	1	P3	1.7684240642015
RM	YNB+RM	two-parent	1	1	P9	2.19886706300991
RM	YNB+RM	WE	0	1	P4	NA
RM	YNB+RM	two-parent	1	1	P10	2.07704508209775
RM	YNB+RM	WE	0	1	P4	1.89090362576318
RM	YNB+RM	two-parent	1	1	P10	2.24179550787461
RM	YNB+RM	WE	0	1	P1	3.58057517502919
RM	YNB+RM	two-parent	1	1	P13	2.02122028444369
RM	YNB+RM	WE	0	1	P1	3.62963675476037
RM	YNB+RM	two-parent	1	1	P13	2.16110523988363
RM	YNB+RM	WE	0	1	P2	2.20424011160103
RM	YNB+RM	two-parent	1	1	P14	2.40620477393271
RM	YNB+RM	WE	0	1	P2	1.93668488380865
RM	YNB+RM	two-parent	1	1	P14	2.2152300450425
RM	YNB+RM	WE	0	1	P3	1.95654163602126
RM	YNB+RM	two-parent	1	1	P15	2.13473352951237
RM	YNB+RM	WE	0	1	P3	1.9900444756
RM	YNB+RM	two-parent	1	1	P15	2.23646610426693
RM	YNB+RM	WE	0	1	P4	1.97893491717748
RM	YNB+RM	two-parent	1	1	P16	2.20904240909115
RM	YNB+RM	WE	0	1	P4	1.940697102083
RM	YNB+RM	WE	0	1	P5	NA
RM	YNB+RM	two-parent	1	1	P17	2.3248439790944
RM	YNB+RM	WE	0	1	P5	2.07116315522569
RM	YNB+RM	two-parent	1	1	P17	NA
RM	YNB+RM	WE	0	1	P6	1.73895662884947
RM	YNB+RM	WE	0	1	P6	1.90489220231367
RM	YNB+RM	WE	0	1	P7	1.9333357844412
RM	YNB+RM	WE	0	1	P7	1.91455571246038
RM	YNB+RM	WE	0	1	P6	2.08179494798519
RM	YNB+RM	WE	0	1	P6	1.95106546314172
RM	YNB+RM	WE	0	1	P7	1.89255381996554
RM	YNB+RM	WE	0	1	P7	1.8225396524295
RM	YNB+RM	WE	0	1	P8	1.87086483011964
RM	YNB+RM	WE	0	1	P8	1.84743122877854
RM	YNB+RM	WE	0	1	P11	1.80150787627157
RM	YNB+RM	WE	0	1	P11	1.95050271833914
RM	YNB+RM	WE	0	1	P12	1.94145630411666
RM	YNB+RM	WE	0	1	P12	1.93493020343691
RM	YNB+RM	WE	0	1	P13	1.86550019246459
RM	YNB+RM	WE	0	1	P13	2.01653471840966
RM	YNB+RM	WE	0	1	P14	1.98670656282718
RM	YNB+RM	WE	0	1	P14	1.94560506692841
RM	YNB+RM	WE	0	1	P15	1.97211154043217
RM	YNB+RM	WE	0	1	P15	2.16911824273358
RM	YNB+RM	four-parent	1	0	P0	3.53136973589442
RM	YNB+RM	two-parent	1	0	P0	4.05376690308652
RM	YNB+RM	four-parent	1	0	P0	3.70164973913789
RM	YNB+RM	two-parent	1	0	P0	4.86045837018592
RM	YNB+RM	four-parent	1	1	P1	3.35759689943548
RM	YNB+RM	two-parent	1	1	P1	4.4986637028387
RM	YNB+RM	four-parent	1	1	P1	3.59263134432867
RM	YNB+RM	two-parent	1	1	P1	5.02061966906678
RM	YNB+RM	four-parent	1	1	P2	3.71421920756187
RM	YNB+RM	two-parent	1	1	P2	2.63745863219384
RM	YNB+RM	four-parent	1	1	P2	3.68520398634639
RM	YNB+RM	two-parent	1	1	P2	4.624510607634
RM	YNB+RM	four-parent	1	1	P3	3.87477926470449
RM	YNB+RM	two-parent	1	1	P3	3.39173283376823
RM	YNB+RM	four-parent	1	1	P3	3.7596065934
RM	YNB+RM	two-parent	1	1	P3	3.69392142839337
RM	YNB+RM	four-parent	1	1	P4	3.12428127679654
RM	YNB+RM	two-parent	1	1	P4	2.30330678707724
RM	YNB+RM	four-parent	1	1	P4	3.49120822492058
RM	YNB+RM	two-parent	1	1	P4	2.38181875109234
RM	YNB+RM	four-parent	1	1	P1	4.17574836931132
RM	YNB+RM	two-parent	1	1	P1	4.16057184897279
RM	YNB+RM	four-parent	1	1	P1	3.94631782033565
RM	YNB+RM	two-parent	1	1	P1	4.33218901632902
RM	YNB+RM	four-parent	1	1	P2	3.9637697334704
RM	YNB+RM	four-parent	1	1	P2	3.64452372694564
RM	YNB+RM	four-parent	1	1	P3	3.83001832024765
RM	YNB+RM	two-parent	1	1	P3	3.55867872268871
RM	YNB+RM	four-parent	1	1	P3	3.85195851879035
RM	YNB+RM	two-parent	1	1	P3	3.86849921979137
RM	YNB+RM	four-parent	1	1	P4	3.26986180263641
RM	YNB+RM	two-parent	1	1	P4	2.5657496756244
RM	YNB+RM	four-parent	1	1	P4	3.37253046092705
RM	YNB+RM	two-parent	1	1	P4	2.41803428195969
RM	YNB+RM	four-parent	1	1	P5	2.63195010895005
RM	YNB+RM	four-parent	1	1	P5	2.92506587604859
RM	YNB+RM	two-parent	1	1	P5	NA
RM	YNB+RM	four-parent	1	1	P6	3.27836084276365
RM	YNB+RM	four-parent	1	1	P6	2.7005422685399
RM	YNB+RM	four-parent	1	1	P7	2.07305365668408
RM	YNB+RM	four-parent	1	1	P7	2.4329288359109
RM	YNB+RM	four-parent	1	1	P6	2.33654456979258
RM	YNB+RM	four-parent	1	1	P6	2.76344687338554
RM	YNB+RM	four-parent	1	1	P7	2.16874648358188
RM	YNB+RM	four-parent	1	1	P7	2.33468577039902
RM	YNB+RM	four-parent	1	1	P8	2.66973173833692
