condition_evolved	condition_measurement	population	cross	replicate	transfer	doubling_time
HU	YNB+HU	four-parent	1	4	P7	2.72262203009485
HU	YNB+HU	four-parent	1	4	P7	2.76485496800506
HU	YNB+HU	four-parent	1	4	P8	2.8126225273734
HU	YNB+HU	four-parent	1	4	P8	2.7297795907048
HU	YNB+HU	four-parent	1	4	P9	2.6506830776551
HU	YNB+HU	four-parent	1	4	P9	2.62970109028621
HU	YNB+HU	four-parent	1	4	P10	2.67087600782944
HU	YNB+HU	four-parent	1	4	P10	2.57043259841266
HU	YNB+HU	four-parent	1	4	P11	2.4338989559893
HU	YNB+HU	four-parent	1	4	P11	2.62410201690083
HU	YNB+HU	four-parent	1	4	P12	2.50590007567322
HU	YNB+HU	four-parent	1	4	P12	2.68522235356235
HU	YNB+HU	four-parent	1	4	P13	2.69509442276114
HU	YNB+HU	four-parent	1	4	P13	2.83328810855878
HU	YNB+HU	four-parent	1	4	P14	2.690069892469
HU	YNB+HU	four-parent	1	4	P14	2.44437903003621
HU	YNB+HU	NA	0	0	P0	2.74253423695802
HU	YNB+HU	two-parent	2	0	P0	3.91675005300159
HU	YNB+HU	NA	0	0	P0	3.36389793347686
HU	YNB+HU	two-parent	2	0	P0	3.61308492875891
HU	YNB+HU	NA	0	1	P1	3.00677059206794
HU	YNB+HU	two-parent	2	1	P1	3.69111139161341
HU	YNB+HU	NA	0	1	P1	3.0015464787957
HU	YNB+HU	two-parent	2	1	P1	3.60431566021178
HU	YNB+HU	NA	0	1	P2	2.91474199764034
HU	YNB+HU	two-parent	2	1	P2	3.43965261842858
HU	YNB+HU	NA	0	1	P2	2.90927165583116
HU	YNB+HU	two-parent	2	1	P2	3.48670217571519
HU	YNB+HU	NA	0	1	P3	2.77327032058192
HU	YNB+HU	two-parent	2	1	P3	3.54965368557598
HU	YNB+HU	NA	0	1	P3	2.87992784589682
HU	YNB+HU	two-parent	2	1	P3	3.68429425675122
HU	YNB+HU	NA	0	1	P4	2.71796891079134
HU	YNB+HU	two-parent	2	1	P4	3.35231290716216
HU	YNB+HU	NA	0	1	P4	2.53429831187533
HU	YNB+HU	two-parent	2	1	P4	3.66443306619262
HU	YNB+HU	NA	0	1	P5	2.77250511713348
HU	YNB+HU	two-parent	2	1	P5	3.35296997165466
HU	YNB+HU	NA	0	1	P5	2.69034053788318
HU	YNB+HU	two-parent	2	1	P5	3.30270331868822
HU	YNB+HU	NA	0	0	P0	2.44096211652433
HU	YNB+HU	two-parent	2	0	P0	3.56175529765421
HU	YNB+HU	NA	0	0	P0	2.53936555654286
HU	YNB+HU	two-parent	2	0	P0	3.52606069255638
HU	YNB+HU	NA	0	1	P1	2.62686553110876
HU	YNB+HU	two-parent	2	1	P1	3.32081729377795
HU	YNB+HU	NA	0	1	P1	2.56983476959354
HU	YNB+HU	two-parent	2	1	P1	3.21203005052763
HU	YNB+HU	NA	0	1	P2	2.43826508094523
HU	YNB+HU	two-parent	2	1	P2	3.26948401931841
HU	YNB+HU	NA	0	1	P2	2.50543839141363
HU	YNB+HU	two-parent	2	1	P2	3.50191753423565
HU	YNB+HU	NA	0	1	P3	2.51601357203128
HU	YNB+HU	two-parent	2	1	P3	3.38521525259974
HU	YNB+HU	NA	0	1	P3	2.70137063071347
HU	YNB+HU	two-parent	2	1	P3	3.59939191172502
HU	YNB+HU	NA	0	1	P4	3.03059745003584
HU	YNB+HU	two-parent	2	1	P4	3.93536934717682
HU	YNB+HU	NA	0	1	P4	2.98790159000359
HU	YNB+HU	two-parent	2	1	P4	3.84396403130378
HU	YNB+HU	NA	0	1	P5	2.99751359217738
HU	YNB+HU	two-parent	2	1	P5	3.75380335045038
HU	YNB+HU	NA	0	1	P5	3.08777871052355
HU	YNB+HU	two-parent	2	1	P5	3.16764896127729
HU	YNB+HU	NA	0	1	P6	2.95449351838859
HU	YNB+HU	NA	0	1	P6	3.23898933722975
HU	YNB+HU	NA	0	1	P7	3.16576335465959
HU	YNB+HU	NA	0	1	P7	3.16444299342595
HU	YNB+HU	NA	0	1	P8	2.8165663112665
HU	YNB+HU	NA	0	1	P8	3.31976708582011
HU	YNB+HU	NA	0	1	P6	2.83518502249404
HU	YNB+HU	NA	0	1	P6	2.86090036869004
HU	YNB+HU	NA	0	1	P7	2.69298418574856
HU	YNB+HU	NA	0	1	P7	2.61927867717152
HU	YNB+HU	NA	0	1	P8	2.74916771358217
HU	YNB+HU	NA	0	1	P8	2.57201936920738
HU	YNB+HU	NA	0	1	P9	2.41896642820436
HU	YNB+HU	NA	0	1	P9	2.57604405778924
HU	YNB+HU	NA	0	1	P10	2.35040044675388
HU	YNB+HU	NA	0	1	P10	2.40129449134425
HU	YNB+HU	NA	0	1	P11	2.32164753337662
HU	YNB+HU	NA	0	1	P11	2.34506875066308
HU	YNB+HU	NA	0	1	P12	2.32211167603696
HU	YNB+HU	NA	0	1	P12	2.41039233721354
HU	YNB+HU	NA	0	1	P13	2.47719862561716
HU	YNB+HU	NA	0	1	P13	2.49977645633033
HU	YNB+HU	NA	0	1	P14	2.52313034007624
HU	YNB+HU	NA	0	1	P14	2.58790112654868
HU	YNB+HU	four-parent	2	0	P0	3.39744439494611
HU	YNB+HU	two-parent	2	1	P6	3.57385413552753
HU	YNB+HU	four-parent	2	0	P0	3.44824083332396
HU	YNB+HU	two-parent	2	1	P6	3.64068840791252
HU	YNB+HU	four-parent	2	1	P1	3.19166417645333
HU	YNB+HU	two-parent	2	1	P7	3.8202201700443
HU	YNB+HU	four-parent	2	1	P1	3.36994435771928
HU	YNB+HU	two-parent	2	1	P7	3.56445681116303
HU	YNB+HU	four-parent	2	1	P2	3.11932513433444
HU	YNB+HU	two-parent	2	1	P8	3.4532965292507
HU	YNB+HU	four-parent	2	1	P2	3.19005397385687
HU	YNB+HU	two-parent	2	1	P8	3.62664784109299
HU	YNB+HU	four-parent	2	1	P3	3.05461890810462
HU	YNB+HU	two-parent	2	1	P9	3.39122323149268
HU	YNB+HU	four-parent	2	1	P3	2.75646367501924
HU	YNB+HU	two-parent	2	1	P9	3.29848270919322
HU	YNB+HU	four-parent	2	1	P4	2.84810529403986
HU	YNB+HU	two-parent	2	1	P10	3.21900916410914
HU	YNB+HU	four-parent	2	1	P4	2.85181523644855
HU	YNB+HU	two-parent	2	1	P10	3.22958831269366
HU	YNB+HU	four-parent	2	1	P5	3.0141777234753
HU	YNB+HU	two-parent	2	1	P11	3.25693132968998
HU	YNB+HU	four-parent	2	1	P5	2.81447522362206
HU	YNB+HU	two-parent	2	1	P11	3.02731776452463
HU	YNB+HU	four-parent	2	0	P0	3.12819655808128
HU	YNB+HU	two-parent	2	1	P12	2.66979688198252
HU	YNB+HU	four-parent	2	0	P0	2.9090760897095
HU	YNB+HU	two-parent	2	1	P12	2.8690819632681
HU	YNB+HU	four-parent	2	1	P1	3.01514868169011
HU	YNB+HU	two-parent	2	1	P13	2.59703545035963
HU	YNB+HU	four-parent	2	1	P1	2.98744615585153
HU	YNB+HU	two-parent	2	1	P13	2.7970883944667
HU	YNB+HU	four-parent	2	1	P2	2.96150484328344
HU	YNB+HU	two-parent	2	1	P14	2.92465931704448
HU	YNB+HU	four-parent	2	1	P2	2.91298237487808
HU	YNB+HU	two-parent	2	1	P14	2.67174447074493
HU	YNB+HU	four-parent	2	1	P3	2.94081627551942
HU	YNB+HU	two-parent	2	1	P15	2.82851193303194
HU	YNB+HU	four-parent	2	1	P3	2.94228900668326
HU	YNB+HU	two-parent	2	1	P15	2.59079595320862
HU	YNB+HU	four-parent	2	1	P4	2.87457974679456
HU	YNB+HU	two-parent	2	1	P16	2.89898176514073
HU	YNB+HU	four-parent	2	1	P4	2.89009081480954
HU	YNB+HU	two-parent	2	1	P16	2.94657818220307
HU	YNB+HU	four-parent	2	1	P5	3.05494305961802
HU	YNB+HU	two-parent	2	1	P17	2.9247129468314
HU	YNB+HU	four-parent	2	1	P5	3.19136565992124
HU	YNB+HU	two-parent	2	1	P17	2.77171761662519
HU	YNB+HU	four-parent	2	1	P6	3.40500523100477
HU	YNB+HU	four-parent	2	1	P6	3.13502112685045
HU	YNB+HU	four-parent	2	1	P7	3.03064004469027
HU	YNB+HU	four-parent	2	1	P7	3.0609115931579
HU	YNB+HU	four-parent	2	1	P8	2.96830424209026
HU	YNB+HU	four-parent	2	1	P8	3.0270248401389
HU	YNB+HU	four-parent	2	1	P6	3.03947869695306
HU	YNB+HU	four-parent	2	1	P6	2.86173434248908
HU	YNB+HU	four-parent	2	1	P7	2.71704478734854
HU	YNB+HU	four-parent	2	1	P7	2.73763808039545
HU	YNB+HU	four-parent	2	1	P8	2.88420456958876
HU	YNB+HU	four-parent	2	1	P8	2.88749088246527
HU	YNB+HU	four-parent	2	1	P9	2.66652422289966
HU	YNB+HU	four-parent	2	1	P9	2.67599580046747
HU	YNB+HU	four-parent	2	1	P10	2.59276192577669
HU	YNB+HU	four-parent	2	1	P10	2.54296208671289
HU	YNB+HU	four-parent	2	1	P11	2.6589717251044
HU	YNB+HU	four-parent	2	1	P11	2.66282002029139
HU	YNB+HU	four-parent	2	1	P12	2.60948254017619
HU	YNB+HU	four-parent	2	1	P12	2.6865264384961
HU	YNB+HU	four-parent	2	1	P13	2.49730441899904
HU	YNB+HU	four-parent	2	1	P13	2.67827948444525
HU	YNB+HU	four-parent	2	1	P14	2.76457392622886
HU	YNB+HU	four-parent	2	1	P14	2.93699043613846
HU	YNB+HU	NA	0	0	P0	2.81973211508902
HU	YNB+HU	two-parent	2	0	P0	3.48758824870156
HU	YNB+HU	NA	0	0	P0	3.26055698603793
HU	YNB+HU	two-parent	2	0	P0	3.71967636475228
HU	YNB+HU	NA	0	2	P1	3.17333659237413
HU	YNB+HU	two-parent	2	2	P1	3.72033858427023
HU	YNB+HU	NA	0	2	P1	3.26970041123622
HU	YNB+HU	two-parent	2	2	P1	3.90691866079645
HU	YNB+HU	NA	0	2	P2	3.14290297028865
HU	YNB+HU	two-parent	2	2	P2	3.64354350100467
HU	YNB+HU	NA	0	2	P2	3.05794048536102
HU	YNB+HU	two-parent	2	2	P2	3.97934577896155
HU	YNB+HU	NA	0	2	P3	2.97138066429512
HU	YNB+HU	two-parent	2	2	P3	3.78108750120146
HU	YNB+HU	NA	0	2	P3	2.94246583511934
HU	YNB+HU	two-parent	2	2	P3	3.50487945194621
HU	YNB+HU	NA	0	2	P4	2.69703126791339
HU	YNB+HU	two-parent	2	2	P4	3.26111245464549
HU	YNB+HU	NA	0	2	P4	2.7466212102617
HU	YNB+HU	two-parent	2	2	P4	3.46328366488139
HU	YNB+HU	NA	0	2	P5	2.75324819591266
HU	YNB+HU	two-parent	2	2	P5	3.38367959947547
HU	YNB+HU	NA	0	2	P5	2.61873090908964
HU	YNB+HU	two-parent	2	2	P5	3.26929710334932
HU	YNB+HU	NA	0	0	P0	2.45189377854565
HU	YNB+HU	two-parent	2	0	P0	3.4746214852861
HU	YNB+HU	NA	0	0	P0	2.63475369015247
HU	YNB+HU	two-parent	2	0	P0	3.499118695436
HU	YNB+HU	NA	0	2	P1	2.45457857074853
HU	YNB+HU	two-parent	2	2	P1	3.41307804906688
HU	YNB+HU	NA	0	2	P1	2.60551769714765
HU	YNB+HU	two-parent	2	2	P1	3.38554433371233
HU	YNB+HU	NA	0	2	P2	2.68110028672542
HU	YNB+HU	two-parent	2	2	P2	3.34534570737206
HU	YNB+HU	NA	0	2	P2	2.52959953923782
HU	YNB+HU	two-parent	2	2	P2	3.4315024335905
